Indice_Temporal,C4_Fundo_Real,C4_Fundo_Pred_MWPLS
1944,0.27007865,0.19500415272017146
1945,0.26423592,0.2436144251806156
1946,0.26108926,0.25813173441025794
1947,0.26099853,0.25809756480548673
1948,0.25877924,0.26418223056091905
1949,0.25985941,0.2528468769205834
1950,0.26112009,0.2519687746322527
1951,0.26104438,0.23187506490142595
1952,0.26110233,0.24332696955293093
1953,0.25987024,0.2666537883290196
1954,0.25879944,0.2806604863011468
1955,0.25086179,0.285702267858766
1956,0.24772766,0.28681914925723784
1957,0.24305907,0.27283999890961774
1958,0.23424841,0.24944634987929076
1959,0.22523033,0.23576496271071107
1960,0.21616254,0.21803626494736586
1961,0.21055479,0.20362461224468548
1962,0.20405831,0.19544652545865043
1963,0.20051857,0.19093700564969368
1964,0.19736928,0.19656547308542227
1965,0.19955626,0.20278421493257925
1966,0.20280008,0.2036649707602345
1967,0.21299436,0.21266011641196514
1968,0.23421432,0.2354390639191432
1969,0.25995344,0.2652287937576028
1970,0.29457457,0.3046416851338488
1971,0.33271792,0.36141985715951885
1972,0.37961995,0.4328451013841493
1973,0.42876907,0.4969945903309595
1974,0.48578106,0.5348657490780737
1975,0.54390959,0.5661938621838529
1976,0.59622469,0.619724901700092
1977,0.64760287,0.6640811632080226
1978,0.70005732,0.7064704148403453
1979,0.74463082,0.7478205899107012
1980,0.78595876,0.7848928991389335
1981,0.8161783,0.8129008979307089
1982,0.85312355,0.845629767235464
1983,0.87433112,0.892170842567444
1984,0.89426278,0.909981525734457
1985,0.89865882,0.9272599002986609
1986,0.90444647,0.9307668320627959
1987,0.8985525,0.941086245457436
1988,0.89554828,0.9346211888829461
1989,0.88092444,0.9026851718827067
1990,0.87079856,0.893248366161321
1991,0.849538,0.8592600521014733
1992,0.82513132,0.8263676342531381
1993,0.79607561,0.795408523588031
1994,0.75912788,0.7811968384476773
1995,0.72455327,0.7453473567825881
1996,0.68880993,0.7037859239152078
1997,0.65187001,0.6735472765562627
1998,0.61528058,0.6317426801258119
1999,0.57963347,0.603247997717308
2000,0.54383388,0.5626932571003217
2001,0.51239532,0.5275439744461046
2002,0.48245319,0.5065990008990597
2003,0.45419214,0.47922302325703076
2004,0.42540263,0.451060743867813
2005,0.40295675,0.43527114178959203
2006,0.38070292,0.4169546434664989
2007,0.35150975,0.39838955364284345
2008,0.33704199,0.3709279419015175
2009,0.31018395,0.3520257116186328
2010,0.29208678,0.3324392043178174
2011,0.27202184,0.30231446300348525
2012,0.25310104,0.28045474968909045
2013,0.23530525,0.2620769525178845
2014,0.22091284,0.23333327494808442
2015,0.20743337,0.23634422639893055
2016,0.19842499,0.21925816466104853
2017,0.19288169,0.20848004111862128
2018,0.18936391,0.20301424476407426
2019,0.19050313,0.19602023614185118
2020,0.19284714,0.19911272964157142
2021,0.20402422,0.21669649590374412
2022,0.22285259,0.23175938519587952
2023,0.23540752,0.24770091613187084
2024,0.25666737,0.2714932047391762
2025,0.2778232,0.2952558928058999
2026,0.29803373,0.326693367123708
2027,0.31799092,0.3456849768369857
2028,0.33267076,0.37339721380064944
2029,0.34370334,0.37801192890879864
2030,0.35156032,0.38346110360542895
2031,0.35814292,0.392997999484001
2032,0.37282265,0.4001912760752882
2033,0.38969288,0.40782585500094043
2034,0.4152695,0.40806576803879735
2035,0.43532045,0.4194022956490383
2036,0.46327553,0.4357447701263437
2037,0.48667253,0.46661956015021167
2038,0.50918378,0.4977927642538954
2039,0.53152195,0.5170688855698846
2040,0.54920996,0.5432823495544049
2041,0.56361341,0.5479933306235047
2042,0.57942772,0.5626509617407588
2043,0.59040295,0.5740880281833003
2044,0.60182875,0.5827625630997728
2045,0.60614603,0.5881627925531616
2046,0.60922149,0.5952497964673844
2047,0.6084215,0.5971520508157551
2048,0.60852377,0.5933516657564362
2049,0.60062244,0.5896340616269968
2050,0.59033989,0.5856801618215545
2051,0.57155544,0.5725618277215371
2052,0.56141898,0.5750134404541827
2053,0.54567484,0.5625266956999087
2054,0.52133343,0.5433122235698152
2055,0.50004439,0.5309398398469438
2056,0.47774056,0.5102190899101644
2057,0.46538183,0.4903344636336151
2058,0.45269976,0.48439157658046317
2059,0.44358935,0.4653068485818144
2060,0.43628866,0.4538252567037857
2061,0.42800665,0.44345382874318157
2062,0.42006501,0.4332517258463262
2063,0.41195069,0.4311947387881617
2064,0.4050818,0.4260852811610438
2065,0.39805099,0.4085681088274533
2066,0.38957129,0.4053451175295323
2067,0.38058702,0.3919175162663327
2068,0.37025954,0.386260307496217
2069,0.36674811,0.38776224283497185
2070,0.36789927,0.38974128582338013
2071,0.37385677,0.38017265135741396
2072,0.38344107,0.3775524111443327
2073,0.39369464,0.39422334396163844
2074,0.40850516,0.41389656260732477
2075,0.42493729,0.4408083721504996
2076,0.44339955,0.4490782537457564
2077,0.4648068,0.4576863716858848
2078,0.4809662,0.4756892504791119
2079,0.49042497,0.5116006204018891
2080,0.49892736,0.5085671610657885
2081,0.5060309,0.49967863526794354
2082,0.50444562,0.5012697522104497
2083,0.49835514,0.4936381726467177
2084,0.48813054,0.4706718453398301
2085,0.47714565,0.4639525286327215
2086,0.46587443,0.4591492645712494
2087,0.45076562,0.4401911596607221
2088,0.4338852,0.42701754812751486
2089,0.41589791,0.4182470731434731
2090,0.40104534,0.4031065646096953
2091,0.38595244,0.39165290837058453
2092,0.37126354,0.3717988205779429
2093,0.35784452,0.3437177811656782
2094,0.34577896,0.32740641070790766
2095,0.3359475,0.32127189912889015
2096,0.32784056,0.2991335630437083
2097,0.31776081,0.30506361107556706
2098,0.31141465,0.3087451941993257
2099,0.30466739,0.30396153738070675
2100,0.30000594,0.30499041119017506
2101,0.29976048,0.29896523894356086
2102,0.30074684,0.30366878385416957
2103,0.30415543,0.3005723061212231
2104,0.31124647,0.3072694261673811
2105,0.3201762,0.3253605344666054
2106,0.33109969,0.3322358968831248
2107,0.34110813,0.3481496438296886
2108,0.34733011,0.36451600090000913
2109,0.36180314,0.37228366211938474
2110,0.37639715,0.38807859570883035
2111,0.38982924,0.3947499028118669
2112,0.39850155,0.38702791153951444
2113,0.41410244,0.405574169437107
2114,0.42086049,0.41398941192754846
2115,0.4377097,0.42155578942275207
2116,0.45115198,0.4300181504060643
2117,0.46442953,0.4405582852494392
2118,0.47355528,0.44843539454257475
2119,0.48568234,0.4619985733541359
2120,0.49113803,0.4745523104841319
2121,0.4991427,0.4878315397288474
2122,0.50374222,0.5038288879611543
2123,0.51235143,0.5210480476532724
2124,0.51806067,0.5273592811596858
2125,0.52924498,0.535289476814683
2126,0.54148952,0.5407881602165815
2127,0.54504814,0.5463309629561804
2128,0.55174309,0.5466768580508033
2129,0.55272668,0.5552645045527651
2130,0.55051584,0.5228797968429472
2131,0.55045277,0.5131001290327952
2132,0.54691801,0.5130443644295561
2133,0.53920254,0.5134317668155293
2134,0.53841335,0.5011048035240633
2135,0.5316473,0.5005680444973262
2136,0.52493125,0.49044013756609234
2137,0.51124235,0.48041138767440966
2138,0.49670629,0.4666778226901082
2139,0.48320318,0.4632125176640179
2140,0.46660813,0.4483967425000148
2141,0.44752521,0.43831400201341353
2142,0.43208686,0.4472951866583667
2143,0.41972752,0.43959160390028273
2144,0.40519657,0.425472209625296
2145,0.39512137,0.405000731101182
2146,0.38857297,0.4024015403730211
2147,0.3837689,0.38749525169149374
2148,0.37277322,0.3784702096600353
2149,0.36948451,0.37843803699242806
2150,0.36726572,0.36372029404538975
2151,0.36169064,0.37848672339773093
2152,0.35711441,0.3674002860162229
2153,0.3526433,0.3608338571053612
2154,0.35165748,0.36320651059411674
2155,0.34600055,0.347821582413439
2156,0.34727784,0.33977207428422684
2157,0.34047259,0.33558289847703304
2158,0.33585432,0.333044819338032
2159,0.33375811,0.32736301659042966
2160,0.32476151,0.3278787694602586
2161,0.327932,0.33343626831111095
2162,0.32595756,0.3178006168924118
2163,0.32242227,0.314987500059074
2164,0.31804547,0.3138617514661807
2165,0.3169676,0.3177199668901095
2166,0.31140044,0.3165820726162418
2167,0.30583048,0.3089486032942013
2168,0.30125937,0.30294538642958074
2169,0.29562403,0.30426888766779847
2170,0.28666816,0.294482534666072
2171,0.27798279,0.28708003680955485
2172,0.27090968,0.2767971568690823
2173,0.26420411,0.27062787638622765
2174,0.25666722,0.25852717874977443
2175,0.24991744,0.2520214603918822
2176,0.24095139,0.23640961404729463
2177,0.23073471,0.22910824819548498
2178,0.22091064,0.21883809027905585
2179,0.20833883,0.21668710676127678
2180,0.20049265,0.2114243718536305
2181,0.18826399,0.2083341006992854
