EMA_Span,Derivadas,Rolling,Roll_Window,Squared,MW_Window,N_Features,Components_C,RMSE,R2,Jarque_Bera_Stat,Jarque_Bera_p,Lag_Top_Temp,Lag_Top_Pressure,Lag_Reflux_Flow,Lag_Flow_To_Next_Process,Lag_Temp_Sixth_Tray,Lag_Bottom_Temp_1,Lag_Bottom_Temp_2
21,False,True,18.0,True,200,29,16,0.01683096206861675,0.9934777218987324,160.6528,0.0,10,0,2,16,9,10,10
21,False,True,16.0,True,200,29,16,0.017191499627958816,0.9931661344364164,14.0489,0.00089,10,0,2,16,9,10,10
18,False,True,12.0,False,300,22,20,0.017439696448646624,0.9929217056158962,19.7746,5.1e-05,10,0,2,17,9,11,11
18,False,True,16.0,True,200,29,16,0.017558311471457165,0.9928866108859915,107.4561,0.0,10,0,2,17,9,11,11
21,False,True,8.0,True,200,29,20,0.017426089950077626,0.9928547682073309,1259.4756,0.0,10,0,2,16,9,10,10
18,False,True,12.0,True,300,29,18,0.017531656985283466,0.9928468602845673,15.1044,0.000525,10,0,2,17,9,11,11
18,False,True,18.0,True,200,29,16,0.017771794872542965,0.9927436725035792,218.8604,0.0,10,0,2,17,9,11,11
21,False,True,18.0,True,200,29,14,0.017758973692385268,0.992738653553479,8.4964,0.01429,10,0,2,16,9,10,10
21,False,True,18.0,False,200,22,16,0.017777766037722086,0.992723277672934,145.4845,0.0,10,0,2,16,9,10,10
18,False,True,12.0,False,300,22,18,0.017710682991537312,0.9927000245913544,18.2357,0.00011,10,0,2,17,9,11,11
21,False,True,12.0,True,300,29,20,0.017717474543725385,0.9926784305736321,14.9056,0.00058,10,0,2,16,9,10,10
21,False,True,12.0,False,300,22,18,0.017738806160435848,0.9926607898052184,25.3811,3e-06,10,0,2,16,9,10,10
21,False,True,16.0,False,200,22,16,0.017865124666371007,0.992620090960775,20.287,3.9e-05,10,0,2,16,9,10,10
21,False,True,8.0,True,300,29,20,0.01775101845946396,0.9925858226501033,24.5389,5e-06,10,0,2,16,9,10,10
