EMA_Span,Derivadas,Rolling,Roll_Window,Squared,N_Features,Best_C,RMSE,R2,Jarque_Bera_Stat,Jarque_Bera_p,Lag_Top_Temp,Lag_Top_Pressure,Lag_Reflux_Flow,Lag_Flow_To_Next_Process,Lag_Temp_Sixth_Tray,Lag_Bottom_Temp_1,Lag_Bottom_Temp_2
15,True,True,18.0,True,36,14,0.022273237776163923,0.9886266168283031,3.3459,0.187688,11,1,3,18,10,11,11
27,False,True,12.0,False,22,12,0.022123602476155465,0.9885337928044097,3.4086,0.181902,9,0,0,14,8,9,9
27,False,True,12.0,True,29,12,0.022897683714951583,0.9877173748776803,0.9675,0.616478,9,0,0,14,8,9,9
21,False,True,12.0,True,29,12,0.02296905631763112,0.9876948516126899,5.7032,0.057751,10,0,2,16,9,10,10
21,True,True,16.0,True,36,14,0.02308007011341185,0.9876827670731015,1.5802,0.453794,10,0,2,16,9,10,10
18,True,True,18.0,True,36,14,0.02367179203471435,0.9871259092816814,0.2991,0.861092,10,0,2,17,9,11,11
27,False,True,10.0,False,22,12,0.02339555947454993,0.9871209660051458,1.8197,0.402585,9,0,0,14,8,9,9
18,False,True,12.0,True,29,12,0.023557460396727212,0.9870846042765063,1.6527,0.437647,10,0,2,17,9,11,11
21,True,True,18.0,True,36,14,0.023818182576161077,0.9869383311164622,1.6097,0.447158,10,0,2,16,9,10,10
27,True,True,12.0,False,29,14,0.023682558934434123,0.9868609082275527,17.824,0.000135,9,0,0,14,8,9,9
21,False,True,8.0,False,22,20,0.023688719368792938,0.9867961803058889,8.7582,0.012536,10,0,2,16,9,10,10
15,False,True,10.0,False,22,18,0.02381252828942026,0.9867745161979627,11.7922,0.00275,11,1,3,18,10,11,11
24,True,True,12.0,False,29,14,0.02379877140178603,0.9867607543255227,8.8638,0.011892,10,0,1,15,8,10,10
24,True,True,14.0,False,29,14,0.02402730334930565,0.9865642832067876,2.7244,0.256103,10,0,1,15,8,10,10
21,True,True,18.0,False,29,12,0.024168120077302405,0.9865517067643867,9.3003,0.00956,10,0,2,16,9,10,10
27,True,True,14.0,False,29,14,0.024198401745326326,0.9863424148973166,8.4904,0.014333,9,0,0,14,8,9,9
24,False,True,14.0,False,22,12,0.024429790795475026,0.986110382891952,12.406,0.002023,10,0,1,15,8,10,10
21,False,True,14.0,False,22,12,0.024472470117251812,0.9860919620439879,8.6652,0.013133,10,0,2,16,9,10,10
27,False,True,10.0,True,29,14,0.02438542870895027,0.9860080833524113,0.6475,0.723427,9,0,0,14,8,9,9
27,True,True,14.0,True,36,14,0.024645258441692852,0.9858333454632552,1.2768,0.528146,9,0,0,14,8,9,9
21,False,True,6.0,False,22,20,0.024540061012703222,0.9857679408729828,31.8318,0.0,10,0,2,16,9,10,10
27,True,True,10.0,False,29,14,0.02460732705330599,0.9857522822867503,45.3176,0.0,9,0,0,14,8,9,9
24,True,True,16.0,False,29,14,0.024800930964007397,0.9857469879248215,6.1558,0.046057,10,0,1,15,8,10,10
21,False,True,10.0,False,22,16,0.02468301844544689,0.9857273496004708,1.3761,0.502551,10,0,2,16,9,10,10
24,True,True,16.0,True,36,14,0.024950361677664155,0.9855747158335273,0.547,0.760718,10,0,1,15,8,10,10
15,False,True,8.0,False,22,16,0.02481742019587322,0.9855714941248077,19.1442,7e-05,11,1,3,18,10,11,11
